option,bid,bid_size,ask,ask_size,iv,open_interest,volume,delta,gamma,vega,theta,rho,theo,change,open,high,low,tick,last_trade_price,last_trade_time,percent_change,prev_day_close
SPY260914P00585000,0.0,0.0,0.01,2987.0,3.5409,0.0,0.0,-0.0005,0.0,0.0003,-0.0073,0.0,0.0073,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00590000,171.29,44.0,171.62,43.0,3.4334,0.0,0.0,0.9995,0.0,0.0003,-0.0075,0.0,171.4575,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,175.240005493164
SPY260914P00590000,0.0,0.0,0.01,2987.0,3.4334,0.0,0.0,-0.0005,0.0,0.0003,-0.0075,0.0,0.0075,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00595000,166.31,43.0,166.55,44.0,0.0,0.0,0.0,0.9995,0.0,0.0003,-0.0078,0.0,166.4578,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,170.25
SPY260914P00595000,0.0,0.0,0.01,2986.0,3.3267,0.0,0.0,-0.0005,0.0,0.0003,-0.0078,0.0,0.0078,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00600000,161.29,43.0,161.62,43.0,3.2208,0.0,1.0,0.9994,0.0,0.0003,-0.008,0.0,161.458,-3.75,161.48,161.48,161.48,down,161.48,2026-09-14T11:51:22,-2.26957,165.230003356934
SPY260914P00600000,0.0,0.0,0.01,2987.0,3.2208,24.0,0.0,-0.0006,0.0,0.0003,-0.008,0.0,0.008,0.0,0.0,0.0,0.0,no_change,0.01,2026-09-10T15:46:30,0.0,0.00499999988824129
SPY260914C00605000,156.23,2.0,156.55,2.0,0.0,0.0,1.0,0.9994,0.0,0.0003,-0.0083,0.0,156.4583,-3.67,156.55,156.55,156.55,down,156.55,2026-09-14T11:51:22,-2.2906,160.220001220703
SPY260914P00605000,0.0,0.0,0.01,2987.0,3.1155,0.0,0.0,-0.0006,0.0,0.0003,-0.0083,0.0,0.0083,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00610000,151.29,43.0,151.61,43.0,1.6479,9.0,0.0,0.9994,0.0,0.0004,-0.0086,0.0,151.4586,0.0,0.0,0.0,0.0,down,154.13,2026-09-11T13:13:56,0.0,155.230003356934
SPY260914P00610000,0.0,0.0,0.01,2988.0,3.011,0.0,0.0,-0.0006,0.0,0.0004,-0.0086,0.0,0.0086,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00615000,146.18,45.0,146.55,43.0,0.0,16.0,0.0,0.9993,0.0,0.0004,-0.0088,0.0,146.4588,0.0,0.0,0.0,0.0,no_change,150.81,2026-09-11T13:09:04,0.0,150.220001220703
SPY260914P00615000,0.0,0.0,0.01,3293.0,2.9071,0.0,9.0,-0.0007,0.0,0.0004,-0.0088,0.0,0.0088,0.005,0.01,0.01,0.01,up,0.01,2026-09-14T09:30:00,100.0,0.00499999988824129
SPY260914C00620000,141.29,43.0,141.6,43.0,0.0,0.0,0.0,0.9993,0.0,0.0004,-0.0091,0.0,141.4591,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,145.254997253418
SPY260914P00620000,0.0,0.0,0.01,2987.0,2.8038,0.0,0.0,-0.0007,0.0,0.0004,-0.0091,0.0,0.0091,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00625000,136.03,43.0,136.54,43.0,0.0,4.0,0.0,0.9992,0.0,0.0004,-0.0094,0.0,136.4594,0.0,0.0,0.0,0.0,no_change,140.51,2026-09-11T12:27:42,0.0,140.230003356934
SPY260914P00625000,0.0,0.0,0.01,2988.0,2.7012,60.0,0.0,-0.0008,0.0,0.0004,-0.0094,0.0,0.0094,0.0,0.0,0.0,0.0,no_change,0.01,2026-09-10T09:44:52,0.0,0.00499999988824129
SPY260914C00630000,131.29,44.0,131.64,43.0,2.832,9.0,0.0,0.9992,0.0001,0.0005,-0.0097,0.0,131.4597,0.0,0.0,0.0,0.0,down,135.67,2026-09-11T14:17:59,0.0,135.230003356934
SPY260914P00630000,0.0,0.0,0.01,2987.0,2.5992,40.0,0.0,-0.0008,0.0001,0.0005,-0.0097,0.0,0.0097,0.0,0.0,0.0,0.0,no_change,0.01,2026-09-10T11:38:37,0.0,0.00499999988824129
SPY260914C00635000,126.21,43.0,126.56,43.0,0.0,1.0,0.0,0.9991,0.0001,0.0005,-0.01,0.0,126.46,0.0,0.0,0.0,0.0,up,131.21,2026-09-11T11:28:07,0.0,130.235000610352
SPY260914P00635000,0.0,0.0,0.01,2987.0,2.4978,0.0,0.0,-0.0009,0.0001,0.0005,-0.01,0.0,0.01,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00640000,121.29,43.0,121.63,43.0,2.528,0.0,0.0,0.9991,0.0001,0.0005,-0.0103,0.0,121.4603,0.0,0.0,0.0,0.0,up,117.95,2026-09-10T15:07:13,0.0,125.224998474121
SPY260914P00640000,0.0,0.0,0.01,2987.0,2.397,0.0,0.0,-0.0009,0.0001,0.0005,-0.0103,0.0,0.0103,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,0.00499999988824129
SPY260914C00645000,116.18,44.0,116.56,43.0,0.0,101.0,0.0,0.999,0.0001,0.0005,-0.0106,0.0,116.4606,0.0,0.0,0.0,0.0,down,120.22,2026-09-11T11:08:02,0.0,120.229999542236
SPY260914P00645000,0.0,0.0,0.01,2987.0,2.2967,258.0,0.0,-0.001,0.0001,0.0005,-0.0106,0.0,0.0106,0.0,0.0,0.0,0.0,up,0.02,2026-09-11T16:14:59,0.0,0.00499999988824129
SPY260914C00650000,111.29,44.0,111.62,43.0,2.6854,0.0,0.0,0.999,0.0001,0.0006,-0.0109,0.0,111.4609,0.0,0.0,0.0,0.0,no_change,0.0,,0.0,115.235000610352
SPY260914P00650000,0.0,0.0,0.01,2987.0,2.197,61.0,0.0,-0.001,0.0001,0.0006,-0.0109,0.0,0.0109,0.0,0.0,0.0,0.0,no_change,0.01,2026-09-11T16:11:48,0.0,0.00499999988824129
SPY260914C00655000,106.27,43.0,106.56,43.0,0.0,0.0,0.0,0.9989,0.0001,0.0006,-0.0112,0.0,106.4612,0.0,0.0,0.0,0.0,down,102.94,2026-09-10T15:27:09,0.0,110.255001068115
SPY260914P00655000,0.0,0.0,0.01,2988.0,2.0977,119.0,11.0,-0.0011,0.0001,0.0006,-0.0112,0.0,0.0112,-0.005,0.01,0.01,0.01,no_change,0.01,2026-09-14T10:31:34,-33.3333,0.0149999996647239
SPY260914C00660000,101.14,44.0,101.54,43.0,0.0,16.0,6.0,0.9988,0.0001,0.0007,-0.0115,0.0,101.4615,-3.795,98.5,101.47,98.5,no_change,101.47,2026-09-14T11:42:53,-3.60519,105.265003204346
SPY260914P00660000,0.0,0.0,0.01,2987.0,1.999,2.0,0.0,-0.0012,0.0001,0.0007,-0.0115,0.0,0.0115,0.0,0.0,0.0,0.0,no_change,0.03,2026-09-10T10:11:53,0.0,0.0149999996647239
SPY260914C00665000,96.29,43.0,96.71,44.0,2.333,94.0,4.0,0.9987,0.0001,0.0007,-0.0118,0.0,96.4618,-6.47,93.58,93.69,93.58,down,93.58,2026-09-14T09:38:49,-6.46677,100.049999237061
SPY260914P00665000,0.0,0.0,0.01,2788.0,1.9006,252.0,0.0,-0.0013,0.0001,0.0007,-0.0118,0.0,0.0118,0.0,0.0,0.0,0.0,no_change,0.01,2026-09-11T14:55:03,0.0,0.0149999996647239
SPY260914C00670000,91.31,57.0,91.49,23.0,0.0,72.0,5.0,0.9986,0.0001,0.0008,-0.0121,0.0,91.4621,-3.765,88.73,91.48,88.63,up,91.48,2026-09-14T11:42:52,-3.95296,95.2449989318848
SPY260914P00670000,0.0,0.0,0.01,2789.0,1.8028,105.0,0.0,-0.0014,0.0001,0.0008,-0.0121,0.0,0.0121,0.0,0.0,0.0,0.0,no_change,0.01,2026-09-11T11:43:46,0.0,0.0149999996647239
SPY260914C00675000,86.23,57.0,86.48,1.0,0.0,51.0,15.0,0.9985,0.0001,0.0008,-0.0125,0.0,86.4625,-3.835,83.54,86.47,83.48,down,86.41,2026-09-14T11:42:57,-4.24954,90.2449989318848
SPY260914P00675000,0.0,0.0,0.01,3142.0,1.7053,1612.0,2.0,-0.0015,0.0001,0.0008,-0.0125,0.0,0.0125,-0.005,0.01,0.01,0.01,no_change,0.01,2026-09-14T09:30:01,-33.3333,0.0149999996647239
SPY260914C00680000,81.3,357.0,81.49,22.0,0.0,61.0,8.0,0.9984,0.0002,0.0009,-0.0128,0.0,81.4628,-3.34,80.28,81.95,80.26,down,81.9,2026-09-14T11:45:38,-3.91835,85.2399978637695
SPY260914P00680000,0.0,0.0,0.01,2988.0,1.6082,121.0,1.0,-0.0016,0.0002,0.0009,-0.0128,0.0,0.0128,-0.005,0.01,0.01,0.01,down,0.01,2026-09-14T09:31:32,-33.3333,0.0149999996647239
SPY260914C00685000,76.28,357.0,76.49,25.0,0.0,70.0,4.0,0.9983,0.0002,0.0009,-0.0131,0.0,76.4631,-3.77,75.28,76.47,75.28,no_change,76.47,2026-09-14T11:42:53,-4.6984,80.2399978637695
SPY260914P00685000,0.0,0.0,0.01,2986.0,1.5114,1559.0,0.0,-0.0017,0.0002,0.0009,-0.0131,0.0,0.0131,0.0,0.0,0.0,0.0,up,0.03,2026-09-11T16:05:42,0.0,0.0249999994412065
SPY260914C00690000,71.3,319.0,71.51,56.0,0.0,49.0,5.0,0.9981,0.0002,0.001,-0.0135,0.0,71.4635,-3.775,70.28,71.48,70.16,up,71.48,2026-09-14T11:42:52,-5.01627,75.254997253418
SPY260914P00690000,0.0,0.0,0.01,2988.0,1.415,1105.0,4.0,-0.0019,0.0002,0.001,-0.0135,0.0,0.0135,-0.015,0.01,0.01,0.01,no_change,0.01,2026-09-14T10:19:31,-60.0,0.0249999994412065
SPY260914C00695000,66.3,357.0,66.5,37.0,0.0,52.0,47.0,0.998,0.0003,0.0011,-0.0138,0.0,66.4638,-3.685,65.28,66.96,63.97,down,66.57,2026-09-14T11:47:22,-5.24518,70.2550010681152
SPY260914P00695000,0.0,0.0,0.01,2988.0,1.3189,187.0,9.0,-0.002,0.0003,0.0011,-0.0138,0.0,0.0138,-0.015,0.01,0.01,0.01,no_change,0.01,2026-09-14T09:30:03,-60.0,0.0249999994412065
SPY260914C00700000,61.28,357.0,61.51,56.0,0.0,174.0,29.0,0.9978,0.0003,0.0012,-0.0142,0.0,61.4642,-3.97,58.69,61.47,58.56,down,61.35,2026-09-14T12:02:47,-6.07777,65.3199996948242
SPY260914P00700000,0.0,0.0,0.01,2787.0,1.2229,21449.0,5.0,-0.0022,0.0003,0.0012,-0.0142,0.0,0.0142,-0.015,0.01,0.01,0.01,no_change,0.01,2026-09-14T11:55:30,-60.0,0.0249999994412065
SPY260914C00705000,56.31,56.0,56.5,55.0,0.0,67.0,21.0,0.9976,0.0004,0.0013,-0.0146,0.0,56.4646,-3.76,53.76,56.48,53.31,up,56.48,2026-09-14T11:42:53,-6.2417,60.2399997711182
SPY260914P00705000,0.0,0.0,0.01,2788.0,1.1272,758.0,6.0,-0.0024,0.0004,0.0013,-0.0146,0.0,0.0146,-0.025,0.01,0.01,0.01,no_change,0.01,2026-09-14T09:38:48,-71.4286,0.034999999217689
SPY260914C00710000,51.28,357.0,51.5,55.0,0.0,45.0,2.0,0.9973,0.0004,0.0014,-0.0149,0.0,51.4649,-3.665,51.47,51.47,51.47,no_change,51.47,2026-09-14T11:42:53,-6.64732,55.1350002288818
SPY260914P00710000,0.0,0.0,0.01,2988.0,1.0315,1439.0,0.0,-0.0027,0.0004,0.0014,-0.0149,0.0,0.0149,0.0,0.0,0.0,0.0,up,0.04,2026-09-11T16:12:23,0.0,0.034999999217689
SPY260914C00715000,46.23,57.0,46.49,18.0,0.0,21.0,9.0,0.997,0.0005,0.0016,-0.0153,0.0,46.4653,-3.68,43.99,46.48,43.99,down,46.46,2026-09-14T11:42:53,-7.33945,50.1399993896484
SPY260914P00715000,0.0,0.0,0.01,3488.0,0.9359,1716.0,46.0,-0.003,0.0005,0.0016,-0.0153,0.0,0.0153,-0.035,0.01,0.01,0.01,no_change,0.01,2026-09-14T11:18:00,-77.7778,0.0449999999254942
SPY260914C00718000,43.28,357.0,43.49,17.0,0.0,3.0,13.0,0.9968,0.0006,0.0017,-0.0155,0.0,43.4655,-3.365,41.27,43.77,40.23,up,43.77,2026-09-14T11:46:07,-7.13907,47.1350002288818
SPY260914P00718000,0.0,0.0,0.01,3488.0,0.8785,1943.0,7.0,-0.0032,0.0006,0.0017,-0.0155,0.0,0.0155,-0.035,0.01,0.01,0.01,no_change,0.01,2026-09-14T09:38:25,-77.7778,0.0449999999254942
SPY260914C00719000,42.31,57.0,42.5,44.0,0.0,3.0,5.0,0.9967,0.0006,0.0017,-0.0156,0.0,42.4656,-3.665,41.2,42.48,39.26,no_change,42.48,2026-09-14T11:42:53,-7.94236,46.1450004577637
SPY260914P00719000,0.0,0.0,0.01,3486.0,0.8594,30540.0,1.0,-0.0033,0.0006,0.0017,-0.0156,0.0,0.0156,-0.035,0.01,0.01,0.01,down,0.01,2026-09-14T09:30:08,-77.7778,0.0449999999254942
SPY260914C00720000,41.28,357.0,41.49,16.0,0.0,67.0,21.0,0.9966,0.0006,0.0018,-0.0157,0.0,41.4657,-3.57,38.81,41.57,38.5,up,41.57,2026-09-14T11:47:22,-7.90873,45.1400012969971
SPY260914P00720000,0.0,0.0,0.01,3486.0,0.8403,4952.0,23.0,-0.0034,0.0006,0.0018,-0.0157,0.0,0.0157,-0.035,0.01,0.01,0.01,no_change,0.01,2026-09-14T10:27:23,-77.7778,0.0449999999254942
SPY260914C00721000,40.3,357.0,40.5,56.0,0.0,19.0,3.0,0.9965,0.0007,0.0018,-0.0158,0.0,40.4658,-3.69,37.92,40.48,37.92,down,40.46,2026-09-14T11:42:53,-8.35787,44.1499996185303
SPY260914P00721000,0.0,0.0,0.01,3487.0,0.8211,4018.0,0.0,-0.0035,0.0007,0.0018,-0.0158,0.0,0.0158,0.0,0.0,0.0,0.0,no_change,0.04,2026-09-11T15:59:03,0.0,0.0449999999254942
SPY260914C00722000,39.29,57.0,39.51,56.0,0.0,2.0,3.0,0.9965,0.0007,0.0018,-0.0158,0.0,39.4658,-7.33,36.53,36.53,35.81,down,35.81,2026-09-14T10:55:26,-16.9912,43.1400012969971
SPY260914P00722000,0.0,0.0,0.01,3591.0,0.802,16959.0,212.0,-0.0035,0.0007,0.0018,-0.0158,0.0,0.0158,-0.045,0.01,0.01,0.01,no_change,0.01,2026-09-14T10:50:27,-81.8182,0.0549999997019768
SPY260914C00723000,38.25,57.0,38.5,55.0,0.0,6.0,4.0,0.9964,0.0007,0.0019,-0.0159,0.0,38.4659,-7.3,36.27,36.27,34.84,down,34.84,2026-09-14T10:55:26,-17.3232,42.1400012969971
SPY260914P00723000,0.0,0.0,0.01,3447.0,0.7828,4764.0,2018.0,-0.0036,0.0007,0.0019,-0.0159,0.0,0.0159,-0.045,0.01,0.02,0.01,no_change,0.01,2026-09-14T11:36:28,-81.8182,0.0549999997019768
SPY260914C00724000,37.41,5.0,37.49,21.0,0.0,5.0,24.0,0.9963,0.0008,0.0019,-0.016,0.0,37.466,-3.84,35.08,37.7,34.18,no_change,37.31,2026-09-14T12:09:02,-9.33171,41.1499996185303
SPY260914P00724000,0.0,0.0,0.01,3482.0,0.7637,16919.0,10393.0,-0.0037,0.0008,0.0019,-0.016,0.0,0.016,-0.045,0.01,0.02,0.01,no_change,0.01,2026-09-14T10:20:38,-81.8182,0.0549999997019768
SPY260914C00725000,36.41,61.0,36.49,55.0,0.3769,61.0,23.0,0.9962,0.0008,0.002,-0.0161,0.0,36.4661,-3.45,35.04,36.7,33.21,up,36.7,2026-09-14T11:55:25,-8.59278,40.1499996185303
SPY260914P00725000,0.0,0.0,0.01,3495.0,0.7445,2254.0,6739.0,-0.0038,0.0008,0.002,-0.0161,0.0,0.0161,-0.045,0.01,0.02,0.01,no_change,0.01,2026-09-14T10:51:19,-81.8182,0.0549999997019768
SPY260914C00726000,35.41,61.0,35.49,34.0,0.3666,8.0,21.0,0.9961,0.0008,0.002,-0.0162,0.0,35.4661,-3.71,33.08,35.7,32.0,down,35.44,2026-09-14T12:06:26,-9.47637,39.1499996185303
SPY260914P00726000,0.0,0.0,0.01,3485.0,0.7253,2243.0,988.0,-0.0039,0.0008,0.002,-0.0162,0.0,0.0161,-0.045,0.01,0.01,0.01,no_change,0.01,2026-09-14T12:01:13,-81.8182,0.0549999997019768
SPY260914C00727000,34.41,60.0,34.5,43.0,0.3562,6.0,12.0,0.996,0.0009,0.0021,-0.0162,0.0,34.4662,-7.12,32.25,33.12,31.03,down,31.03,2026-09-14T10:55:51,-18.6632,38.1499996185303
SPY260914P00727000,0.0,0.0,0.01,3485.0,0.7061,1669.0,6120.0,-0.004,0.0009,0.0021,-0.0162,0.0,0.0162,-0.045,0.02,0.02,0.01,no_change,0.01,2026-09-14T11:03:02,-81.8182,0.0549999997019768
SPY260914C00728000,33.41,77.0,33.49,5.0,0.0,11.0,2.0,0.9958,0.0009,0.0021,-0.0163,0.0,33.4663,-6.615,30.73,30.73,30.54,down,30.54,2026-09-14T10:44:35,-17.8038,37.1550006866455
SPY260914P00728000,0.0,0.0,0.01,2765.0,0.6869,907.0,1036.0,-0.0042,0.0009,0.0021,-0.0163,0.0,0.0163,-0.045,0.02,0.02,0.01,no_change,0.01,2026-09-14T11:19:01,-81.8182,0.0549999997019768
SPY260914C00729000,32.41,61.0,32.49,32.0,0.3356,12.0,10.0,0.9957,0.001,0.0022,-0.0164,0.0,32.4664,-6.58,30.48,31.27,29.42,down,29.57,2026-09-14T11:16:17,-18.2019,36.1499996185303
SPY260914P00729000,0.0,0.0,0.01,2762.0,0.6677,1079.0,617.0,-0.0043,0.001,0.0022,-0.0164,0.0,0.0164,-0.045,0.01,0.02,0.01,no_change,0.01,2026-09-14T12:08:44,-81.8182,0.0549999997019768
SPY260914C00730000,31.41,62.0,31.49,32.0,0.3253,153.0,307.0,0.9956,0.001,0.0022,-0.0165,0.0,31.4665,-3.845,30.46,32.2,28.21,down,31.31,2026-09-14T12:09:02,-10.9373,35.1549987792969
SPY260914P00730000,0.0,0.0,0.01,3279.0,0.6484,6004.0,620.0,-0.0044,0.001,0.0022,-0.0165,0.0,0.0165,-0.045,0.01,0.02,0.01,no_change,0.01,2026-09-14T12:10:14,-81.8182,0.0549999997019768
SPY260914C00731000,30.41,61.0,30.49,23.0,0.315,15.0,27.0,0.9954,0.0011,0.0023,-0.0166,0.0,30.4666,-4.61,27.74,29.66,27.55,down,29.55,2026-09-14T11:36:28,-13.4953,34.1599998474121
SPY260914P00731000,0.0,0.0,0.01,3401.0,0.6292,4488.0,3043.0,-0.0046,0.0011,0.0023,-0.0166,0.0,0.0166,-0.045,0.01,0.02,0.01,no_change,0.01,2026-09-14T11:14:45,-81.8182,0.0549999997019768
SPY260914C00732000,29.41,5.0,29.5,56.0,0.3047,31.0,11.0,0.9953,0.0012,0.0024,-0.0166,0.0,29.4666,-6.93,26.94,28.12,26.23,down,26.23,2026-09-14T10:57:39,-20.8987,33.1599998474121
SPY260914P00732000,0.0,0.0,0.01,2565.0,0.6099,424.0,33.0,-0.0047,0.0012,0.0024,-0.0166,0.0,0.0166,-0.055,0.02,0.02,0.01,no_change,0.01,2026-09-14T11:33:01,-84.6154,0.0649999994784594
SPY260914C00733000,28.41,5.0,28.5,56.0,0.2944,32.0,15.0,0.9951,0.0012,0.0025,-0.0167,0.0,28.4667,-3.91,25.6,28.52,25.26,down,28.25,2026-09-14T12:05:39,-12.158,32.1599998474121
SPY260914P00733000,0.0,0.0,0.01,2577.0,0.5906,1136.0,71.0,-0.0049,0.0012,0.0025,-0.0167,0.0,0.0167,-0.055,0.01,0.02,0.01,no_change,0.01,2026-09-14T11:31:59,-84.6154,0.0649999994784594
SPY260914C00734000,27.41,61.0,27.49,21.0,0.2841,100.0,23.0,0.995,0.0013,0.0025,-0.0168,0.0,27.4668,-3.76,24.92,27.62,24.73,down,27.4,2026-09-14T12:03:16,-12.0668,31.1599998474121
SPY260914P00734000,0.0,0.0,0.01,3008.0,0.5713,2887.0,2796.0,-0.005,0.0013,0.0025,-0.0168,0.0,0.0168,-0.055,0.01,0.02,0.01,no_change,0.01,2026-09-14T12:06:23,-84.6154,0.0649999994784594
SPY260914C00735000,26.41,61.0,26.49,20.0,0.2738,193.0,32.0,0.9948,0.0014,0.0026,-0.0169,0.0,26.4669,-4.14,23.96,26.02,23.96,up,26.02,2026-09-14T11:39:30,-13.7268,30.1599998474121
SPY260914P00735000,0.01,3479.0,0.02,4345.0,0.6148,2550.0,1104.0,-0.0052,0.0014,0.0026,-0.0169,0.0,0.0169,-0.055,0.02,0.03,0.01,no_change,0.01,2026-09-14T12:07:45,-84.6154,0.0649999994784594
SPY260914C00736000,25.41,61.0,25.49,19.0,0.2635,130.0,88.0,0.9946,0.0015,0.0027,-0.017,0.0,25.467,-4.19,23.52,24.97,23.52,up,24.97,2026-09-14T11:38:04,-14.369,29.1599998474121
SPY260914P00736000,0.0,0.0,0.01,2000.0,0.5326,829.0,506.0,-0.0054,0.0015,0.0027,-0.017,0.0,0.017,-0.055,0.02,0.02,0.01,no_change,0.01,2026-09-14T11:46:09,-84.6154,0.0649999994784594
SPY260914C00737000,24.41,61.0,24.49,18.0,0.2533,62.0,26.0,0.9944,0.0016,0.0028,-0.0171,0.0,24.4671,-6.64,21.94,23.73,21.53,down,21.53,2026-09-14T10:44:35,-23.5712,28.1700000762939
SPY260914P00737000,0.0,0.0,0.01,1560.0,0.5132,1082.0,614.0,-0.0056,0.0016,0.0028,-0.0171,0.0,0.0171,-0.065,0.02,0.02,0.01,no_change,0.01,2026-09-14T11:47:32,-86.6667,0.0749999992549419
SPY260914C00738000,23.41,61.0,23.49,17.0,0.243,50.0,21.0,0.9942,0.0018,0.0029,-0.0172,0.0,23.4672,-5.41,20.8,22.43,20.8,down,21.76,2026-09-14T11:32:29,-19.9117,27.1700000762939
SPY260914P00738000,0.0,0.0,0.01,992.0,0.4937,1053.0,2395.0,-0.0058,0.0018,0.0029,-0.0172,0.0,0.0172,-0.055,0.01,0.03,0.01,up,0.02,2026-09-14T12:10:13,-73.3333,0.0749999992549419
SPY260914C00739000,22.41,100.0,22.49,6.0,0.2327,34.0,2.0,0.994,0.0019,0.003,-0.0173,0.0,22.4673,-5.04,20.91,21.13,20.91,up,21.13,2026-09-14T09:58:35,-19.2587,26.1700000762939
SPY260914P00739000,0.01,4082.0,0.02,4196.0,0.5297,740.0,4874.0,-0.006,0.0019,0.003,-0.0173,0.0,0.0173,-0.055,0.02,0.03,0.01,no_change,0.02,2026-09-14T12:08:08,-73.3333,0.0749999992549419
SPY260914C00740000,21.41,100.0,21.49,6.0,0.2224,273.0,21.0,0.9937,0.002,0.0031,-0.0174,0.0,21.4674,-3.58,19.36,21.63,18.3,down,21.59,2026-09-14T12:01:16,-14.2233,25.1700000762939
SPY260914P00740000,0.01,4098.0,0.02,4147.0,0.5083,2661.0,11549.0,-0.0063,0.002,0.0031,-0.0174,0.0,0.0174,-0.065,0.03,0.03,0.01,down,0.01,2026-09-14T12:04:53,-86.6667,0.0749999992549419
SPY260914C00741000,20.41,100.0,20.52,100.0,0.2122,254.0,24.0,0.9934,0.0022,0.0033,-0.0175,0.0,20.4675,-3.585,18.26,20.65,17.75,down,20.59,2026-09-14T12:01:04,-14.8294,24.1750001907349
SPY260914P00741000,0.01,3954.0,0.02,3949.0,0.4869,1313.0,21836.0,-0.0066,0.0022,0.0033,-0.0175,0.0,0.0175,-0.065,0.03,0.03,0.01,down,0.01,2026-09-14T12:09:43,-86.6667,0.0749999992549419
SPY260914C00742000,19.42,100.0,19.5,23.0,0.4453,128.0,89.0,0.9931,0.0024,0.0034,-0.0176,0.0,19.4676,-3.77,16.95,19.49,16.53,down,19.41,2026-09-14T12:04:16,-16.264,23.1799993515015
